county,emag_id,display_name,name,parent
Alba,3,Abrud,Abrud,
Alba,4,Abrud-Sat (Abrud),Abrud-Sat,Abrud
Alba,71,Achimeţeşti (Avram Iancu),Achimeţeşti,Avram Iancu
Alba,167,Acmariu (Blandiana),Acmariu,Blandiana
Alba,8,Aiud,Aiud,
Alba,9,Aiudul de Sus (Aiud),Aiudul de Sus,Aiud
Alba,20,Alba Iulia,Alba Iulia,
Alba,26,Albac,Albac,
Alba,687,Alecuş (Şona),Alecuş,Şona
Alba,43,Almaşu de Mijloc (Almaşu Mare),Almaşu de Mijloc,Almaşu Mare
Alba,44,Almaşu Mare,Almaşu Mare,
Alba,444,Ampoiţa (Meteş),Ampoiţa,Meteş
Alba,178,Angheleşti (Bucium),Angheleşti,Bucium
Alba,52,Arieşeni,Arieşeni,
Alba,119,Aroneşti (Bistra),Aroneşti,Bistra
Alba,707,Arţi (Şugag),Arţi,Şugag
Alba,408,Asinip (Lopadea Nouă),Asinip,Lopadea Nouă
Alba,73,Avram Iancu,Avram Iancu,
Alba,53,Avrămeşti (Arieşeni),Avrămeşti,Arieşeni
Alba,74,Avrămeşti (Avram Iancu),Avrămeşti,Avram Iancu
Alba,354,Baba (Horea),Baba,Horea
Alba,650,Băcăinţi (Şibot),Băcăinţi,Şibot
Alba,75,Bădăi (Avram Iancu),Bădăi,Avram Iancu
Alba,409,Băgău (Lopadea Nouă),Băgău,Lopadea Nouă
Alba,761,Băi (Vidra),Băi,Vidra
Alba,107,Baia de Arieş,Baia de Arieş,
Alba,388,Bălcaciu (Jidvei),Bălcaciu,Jidvei
Alba,120,Băleşti (Bistra),Băleşti,Bistra
Alba,121,Băleşti-Cătun (Bistra),Băleşti-Cătun,Bistra
Alba,577,Bălmoşeşti (Roșia Montană),Bălmoşeşti,Roșia Montană
Alba,651,Balomiru de Câmp (Şibot),Balomiru de Câmp,Şibot
Alba,21,Bărăbanţ (Alba Iulia),Bărăbanţ,Alba Iulia
Alba,27,Bărăşti (Albac),Bărăşti,Albac
Alba,469,Bărbeşti (Mogoş),Bărbeşti,Mogoş
Alba,420,Bârdeşti (Lupşa),Bârdeşti,Lupşa
Alba,122,Bârleşti (Bistra),Bârleşti,Bistra
Alba,470,Bârleşti (Mogoş),Bârleşti,Mogoş
Alba,628,Bârleşti (Scărişoara),Bârleşti,Scărişoara
Alba,471,Bârleşti-Cătun (Mogoş),Bârleşti-Cătun,Mogoş
Alba,708,Bârsana (Şugag),Bârsana,Şugag
Alba,421,Bârzan (Lupşa),Bârzan,Lupşa
Alba,472,Bârzogani (Mogoş),Bârzogani,Mogoş
Alba,655,Băzeşti (Sohodol),Băzeşti,Sohodol
Alba,715,Beldiu (Teiuş),Beldiu,Teiuş
Alba,314,Benic (Galda de Jos),Benic,Galda de Jos
Alba,114,Berghin,Berghin,
Alba,410,Beţa (Lopadea Nouă),Beţa,Lopadea Nouă
Alba,275,Bidigeşti (Ciuruleasa),Bidigeşti,Ciuruleasa
Alba,330,Biharia (Gârda de Sus),Biharia,Gârda de Sus
